labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	settings
210Pb_173,	1,	0.120933333,	1356.141506,	39.31906051,	1,	2011.52
210Pb_174,	3,	0.13835,	674.8324681,	23.63404018,	1,	5
210Pb_175,	5,	0.082966667,	177.9484341,	7.794272757,	1,	0
210Pb_176,	7,	0.068033333,	83.93092122,	3.695200931,	1,	
210Pb_177,	9,	0.057683333,	47.96909682,	3.125446488,	1,	
210Pb_178,	11,	0.0662,	29.90366909,	2.310044117,	1,	
210Pb_179,	13,	0.059816667,	14.26337555,	1.066566992,	1,	
210Pb_180,	15,	0.0729,	12.18557706,	1.291886038,	1,	
210Pb_181,	17,	0.069916667,	9.492968713,	1.095907737,	1,	
210Pb_182,	19,	0.065466667,	12.16395415,	1.202275433,	1,	
210Pb_183,	21,	0.062933333,	6.651125541,	0.845273739,	1,	
210Pb_184,	23,	0.061,	12.91178396,	1.219442904,	1,	
210Pb_185,	25,	0.07495,	5.662213891,	0.7402508,	1,	
210Pb_186,	27,	0.142033333,	6.358459258,	0.72109844,	1,	
210Pb_187,	29,	0.118583333,	3.583518902,	0.574844702,	1,	
210Pb_188,	40,	0.086616667,	1.623906022,	0.356833153,	1,	
210Pb_189,	50,	0.10195,	5.736965484,	0.762456033,	1,	
